Trial,Gamma,Epsilon,Epsilon Decay,Start Location,Desination,Deadline,Successful?
Trial 51,0.7,0.4,0.98,"(3, 3)","(1, 6)",25,No
Trial 52,0.7,0.4,0.98,"(3, 1)","(8, 5)",45,No
Trial 53,0.7,0.4,0.98,"(8, 4)","(5, 3)",20,No
Trial 54,0.7,0.4,0.98,"(1, 4)","(3, 1)",25,Yes
Trial 55,0.7,0.4,0.98,"(3, 1)","(7, 5)",40,No
Trial 56,0.7,0.4,0.98,"(8, 5)","(5, 3)",25,Yes
Trial 57,0.7,0.4,0.98,"(2, 3)","(6, 3)",20,No
Trial 58,0.7,0.4,0.98,"(3, 1)","(8, 5)",45,No
Trial 59,0.7,0.4,0.98,"(8, 1)","(5, 3)",25,Yes
Trial 60,0.7,0.4,0.98,"(8, 4)","(6, 1)",25,No
Trial 61,0.7,0.4,0.98,"(5, 6)","(2, 2)",35,No
Trial 62,0.7,0.4,0.98,"(3, 1)","(7, 6)",45,No
Trial 63,0.7,0.4,0.98,"(1, 4)","(5, 4)",20,No
Trial 64,0.7,0.4,0.98,"(5, 1)","(1, 2)",25,No
Trial 65,0.7,0.4,0.98,"(2, 6)","(5, 4)",25,No
Trial 66,0.7,0.4,0.98,"(2, 1)","(7, 4)",40,No
Trial 67,0.7,0.4,0.98,"(1, 4)","(5, 5)",25,No
Trial 68,0.7,0.4,0.98,"(1, 6)","(1, 2)",20,No
Trial 69,0.7,0.4,0.98,"(3, 5)","(7, 3)",30,No
